epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6637,1.20569,2.73979,1.57775,0.65619,0.05359,0.06503,0.02368,2.27289,3.29723,2.57289,0.000538828,0.000538828,0.000538828
2,33.2979,1.25246,2.1476,1.56787,0.6164,0.15686,0.10678,0.0324,2.35702,3.13666,2.94349,0.00107282,0.00107282,0.00107282
3,48.9681,1.29289,2.05081,1.62184,0.11078,0.11765,0.08085,0.02432,2.58081,3.37297,3.03683,0.00158482,0.00158482,0.00158482
4,64.3056,1.30449,2.00912,1.619,0.16422,0.22536,0.13426,0.0501,2.02221,4.05282,2.52681,0.00156798,0.00156798,0.00156798
5,79.4978,1.26557,1.93255,1.59089,0.11574,0.19608,0.13032,0.0463,2.12568,6.25248,2.78341,0.00153497,0.00153497,0.00153497
6,95.2261,1.22818,1.84835,1.5825,0.13654,0.46569,0.16011,0.06995,2.18526,4.7372,2.80846,0.00150197,0.00150197,0.00150197
7,110.785,1.21162,1.76666,1.56704,0.10058,0.16667,0.09067,0.03548,2.1502,4.16003,2.67796,0.00146896,0.00146896,0.00146896
8,126.272,1.16651,1.69796,1.5483,0.24664,0.18627,0.17816,0.0775,1.92852,2.46026,2.54815,0.00143595,0.00143595,0.00143595
9,141.871,1.14325,1.59921,1.5177,0.65226,0.23529,0.18636,0.07436,1.73288,3.09344,2.33847,0.00140295,0.00140295,0.00140295
10,157.131,1.06654,1.54248,1.48562,0.26264,0.2451,0.20672,0.07194,1.89285,2.46735,2.37443,0.00136994,0.00136994,0.00136994
11,172.819,1.078,1.53003,1.47266,0.78161,0.18627,0.22732,0.09332,1.8451,2.54073,2.3298,0.00133693,0.00133693,0.00133693
12,188.437,1.0469,1.47439,1.45391,0.453,0.5114,0.384,0.17721,1.63707,1.88707,2.15137,0.00130393,0.00130393,0.00130393
13,204.359,1.04552,1.44357,1.46277,0.20923,0.22549,0.21046,0.106,1.69989,2.08771,2.13802,0.00127092,0.00127092,0.00127092
14,219.689,1.03678,1.40399,1.44691,0.33258,0.26471,0.30111,0.15966,1.51291,2.03944,2.0102,0.00123791,0.00123791,0.00123791
15,234.965,1.00021,1.34644,1.41666,0.27582,0.30392,0.33917,0.19443,1.38727,1.786,1.92997,0.00120491,0.00120491,0.00120491
16,250.486,0.99933,1.34762,1.41678,0.36608,0.49272,0.32435,0.18002,1.53795,1.84452,2.03939,0.0011719,0.0011719,0.0011719
17,265.764,0.93624,1.28022,1.3798,0.31965,0.2451,0.28899,0.15826,1.57403,1.97066,2.05242,0.00113889,0.00113889,0.00113889
18,281.204,0.95477,1.28373,1.39389,0.78139,0.23529,0.25514,0.13834,1.74837,1.88759,2.26493,0.00110589,0.00110589,0.00110589
19,296.481,0.94918,1.23185,1.39103,0.34922,0.2451,0.31918,0.19005,1.52904,1.70147,2.02448,0.00107288,0.00107288,0.00107288
20,311.651,0.91816,1.21498,1.35692,0.51468,0.57642,0.42422,0.17613,1.51,1.68235,2.07003,0.00103987,0.00103987,0.00103987
21,327.201,0.89118,1.19528,1.34743,0.40148,0.55392,0.34794,0.19175,1.4472,1.67553,1.96094,0.00100687,0.00100687,0.00100687
22,342.546,0.87147,1.12578,1.31635,0.25617,0.61275,0.36022,0.18881,1.40869,1.68013,1.92774,0.000973861,0.000973861,0.000973861
